Source,Target
1373,ID62473443
5765,ID57546558
5936,ID72020713
9951,ID96173168
10943,ID42295227
12347,ID62473443
13057,ID73522592
14815,ID40724955
15852,ID63034309
15986,ID32493641
17620,ID73522592
17877,ID44686006
18544,ID73522592
18882,ID68928451
19300,ID35226988
19425,ID02050294
4329,ID91526028
4329,ID96323681
6984,ID10012765
6984,ID62326681
8562,ID69464236
8562,ID24954279
8951,ID99361449
8951,ID72264068
9570,ID27702889
9570,ID24954279
10274,ID94121783
10274,ID17617861
11879,ID40724955
11879,ID65776596
11946,ID02050294
11946,ID08893421
11970,ID80180374
11970,ID86364376
12160,ID73522592
12160,ID67723919
12809,ID19069416
12809,ID29922475
16439,ID64870362
16439,ID33061410
17092,ID48422470
17092,ID10288996
17158,ID95583608
17158,ID30547744
17366,ID32493641
17366,ID20097994
17419,ID57978417
17419,ID62233746
18240,ID35226988
18240,ID27297731
18794,ID73522592
18794,ID98969671
18813,ID73522592
18813,ID27836807
18906,ID73522592
18906,ID27836807
19053,ID39098756
19053,ID11945163
19122,ID73522592
19122,ID98969671
19140,ID92025304
19140,ID39098756
535,ID64598858
535,ID08990339
535,ID10406017
3508,ID64598858
3508,ID84157133
3508,ID34027363
4586,ID52859640
4586,ID17095489
4586,ID33730953
8213,ID40724955
8213,ID09771078
8213,ID79823520
9210,ID65259276
9210,ID84777236
9210,ID17881575
9912,ID24204775
9912,ID02485310
9912,ID38921121
10878,ID69464236
10878,ID88598321
10878,ID25737671
11101,ID48414987
11101,ID05233588
11101,ID79866997
11971,ID64870362
11971,ID42598554
11971,ID19429998
12204,ID86364376
12204,ID82277542
12204,ID09636236
12378,ID95583608
12378,ID87593955
12378,ID62456697
12680,ID69464236
12680,ID22218713
12680,ID75575444
12684,ID29922475
12684,ID89644647
12684,ID15403279
12876,ID32493641
12876,ID85967606
12876,ID27839076
14179,ID32493641
14179,ID09432034
14179,ID00130243
14839,ID40724955
14839,ID38658098
14839,ID95801746
16026,ID65259276
16026,ID84777236
16026,ID17881575
16045,ID68928451
16045,ID07271532
16045,ID19803430
17891,ID32493641
17891,ID34870669
17891,ID75736766
18239,ID35226988
18239,ID27297731
18239,ID53259039
18805,ID92128136
18805,ID61236109
18805,ID09441943
19052,ID02050294
19052,ID81661538
19052,ID07626579
19373,ID93623664
19373,ID21154337
19373,ID01417115
7075,ID40724955
7075,ID79823520
7075,ID09771078
7075,ID32612473
8381,ID64870362
8381,ID83204565
8381,ID69549441
8381,ID74262527
8952,ID15421062
8952,ID01875174
8952,ID00379860
8952,ID61236259
9143,ID73522592
9143,ID50333384
9143,ID46827558
9143,ID20803546
11818,ID69464236
11818,ID17401724
11818,ID35374496
11818,ID83867216
16811,ID40724955
16811,ID98043956
16811,ID96394721
16811,ID21673659
12512,ID05676954
12512,ID94867416
12512,ID18552104
12512,ID87709247
12512,ID05335885
19422,ID93623664
19422,ID33986642
19422,ID21154337
19422,ID55338379
19422,ID07014222
19422,ID90589542
19422,ID20297230
19422,ID79752793
12840,ID47767065
12840,ID35494236
12840,ID69191349
12840,ID12198015
1997,ID68700735
1997,ID28834554
1997,ID29371697
1997,ID78967722
1997,ID72020713
1997,ID72299684
1997,ID38306293
1997,ID40600407
1997,ID10372726
1997,ID66714748
1997,ID67161644
14193,ID95583608
14193,ID44000459
11025,ID01059570
11025,ID59252208
11025,ID88655562
15096,ID24190129
15096,ID49305920
15096,ID01319449
9832,ID72336161
9832,ID18628001
9832,ID29743955
9832,ID31377220
13331,ID45989949
13331,ID53279747
13331,ID04127392
13331,ID77993414
16454,ID71202918
16454,ID36442753
16454,ID72894539
16454,ID07517488
16577,ID94131201
16577,ID45434939
16577,ID06575228
16577,ID14017093
16577,ID05729015
12171,ID80859121
12171,ID58736069
12171,ID57015689
12171,ID19939291
12171,ID86435992
12171,ID61185580
8554,ID29639806
8554,ID78923956
8554,ID56942511
8554,ID73026856
8554,ID10766628
8554,ID55358763
8554,ID64175652
516,ID64598858
1132,ID42482331
1169,ID57546558
1346,ID62473443
1348,ID62473443
2707,ID35636420
3322,ID64132880
3356,ID03137770
4322,ID91526028
4327,ID07699076
4603,ID49432289
4605,ID98066223
4687,ID37678602
4716,ID63034309
5433,ID13813302
5484,ID93544363
5796,ID37406539
5808,ID32493641
6302,ID93544363
6624,ID42295227
6928,ID10012765
6931,ID67698642
7079,ID05676954
7080,ID05676954
8034,ID92025304
8128,ID83765356
8141,ID72020713
8657,ID32493641
8937,ID01059570
8972,ID80190973
8997,ID94121783
9142,ID40724955
9834,ID49937497
9838,ID42573912
9839,ID62473443
9904,ID13813302
9933,ID24204775
9954,ID94121783
10088,ID42295227
10211,ID48422470
10275,ID94121783
10877,ID32493641
10879,ID99730234
10977,ID94121783
11480,ID65707442
11810,ID63034309
12037,ID32493641
12058,ID45434939
